# t Rcm_x Rcm_y RMS momentum d_min
6.70000000e-02 -1.37245142e-02 -3.76493373e-02 2.02883022e-01 2.06617619e-01 1.70176844e-03
6.80000000e-02 -1.37225740e-02 -3.76480152e-02 1.98657996e-01 2.06617619e-01 6.51774776e-03
6.90000000e-02 -1.37206337e-02 -3.76466930e-02 1.94641464e-01 2.06617619e-01 6.80108906e-03
7.00000000e-02 -1.37186935e-02 -3.76453708e-02 1.90904449e-01 2.06617619e-01 5.56527986e-03
7.10000000e-02 -1.37167532e-02 -3.76440486e-02 1.87514734e-01 2.06617619e-01 6.46087798e-03
7.20000000e-02 -1.37148130e-02 -3.76427264e-02 1.84522041e-01 2.06617619e-01 8.94312115e-03
7.30000000e-02 -1.37128727e-02 -3.76414043e-02 1.82024746e-01 2.06617619e-01 8.05621099e-03
7.40000000e-02 -1.37109324e-02 -3.76400821e-02 1.80195485e-01 2.06617619e-01 6.27980657e-03
7.50000000e-02 -1.37089922e-02 -3.76387599e-02 1.79186533e-01 2.06617619e-01 7.72033028e-03
7.60000000e-02 -1.37070519e-02 -3.76374377e-02 1.78920704e-01 2.06617619e-01 9.93203563e-03
7.70000000e-02 -1.37051117e-02 -3.76361155e-02 1.79268893e-01 2.06617619e-01 7.95896447e-03
7.80000000e-02 -1.37031714e-02 -3.76347934e-02 1.80171078e-01 2.06617619e-01 6.15768046e-03
7.90000000e-02 -1.37012311e-02 -3.76334712e-02 1.81586466e-01 2.06617619e-01 8.06474496e-03
8.00000000e-02 -1.36992909e-02 -3.76321490e-02 1.83473426e-01 2.06617619e-01 1.49586454e-02
8.10000000e-02 -1.36973506e-02 -3.76308268e-02 1.85812145e-01 2.06617619e-01 8.30546063e-03
8.20000000e-02 -1.36954104e-02 -3.76295046e-02 1.88594665e-01 2.06617619e-01 6.88497384e-03
8.30000000e-02 -1.36934701e-02 -3.76281824e-02 1.91808947e-01 2.06617619e-01 7.64755824e-03
8.40000000e-02 -1.36915299e-02 -3.76268603e-02 1.95407085e-01 2.06617619e-01 7.26358633e-03
8.50000000e-02 -1.36895896e-02 -3.76255381e-02 1.99305690e-01 2.06617619e-01 5.23544842e-03
8.60000000e-02 -1.36876493e-02 -3.76242159e-02 2.03424074e-01 2.06617619e-01 6.81505033e-03
8.70000000e-02 -1.36857091e-02 -3.76228937e-02 2.07698428e-01 2.06617619e-01 9.90633919e-03
8.80000000e-02 -1.36837688e-02 -3.76215715e-02 2.12070182e-01 2.06617619e-01 7.07054452e-03
8.90000000e-02 -1.36818286e-02 -3.76202494e-02 2.16491649e-01 2.06617619e-01 9.26700303e-03
9.00000000e-02 -1.36798883e-02 -3.76189272e-02 2.20936901e-01 2.06617619e-01 4.81158902e-03
9.10000000e-02 -1.36779481e-02 -3.76176050e-02 2.25402097e-01 2.06617619e-01 8.70517747e-03
9.20000000e-02 -1.36760078e-02 -3.76162828e-02 2.29898520e-01 2.06617619e-01 5.00923404e-03
9.30000000e-02 -1.36740675e-02 -3.76149606e-02 2.34431413e-01 2.06617619e-01 1.71805423e-02
9.40000000e-02 -1.36721273e-02 -3.76136384e-02 2.38992784e-01 2.06617619e-01 1.54446860e-02
9.50000000e-02 -1.36701870e-02 -3.76123163e-02 2.43582473e-01 2.06617619e-01 2.54427279e-03
9.60000000e-02 -1.36682468e-02 -3.76109941e-02 2.48202674e-01 2.06617619e-01 8.47039229e-03
